name,slug,country,currency,website,aliases
Asia School of Business,asia-school-of-business,MY,MYR,,"[""ASB"", ""asia-school-of-business""]"
Babson College,babson-college,US,USD,,"[""F.W. Olin Graduate School of Business"", ""babson-college""]"
Bradford University,bradford-university,GB,GBP,,"[""Bradford Uni"", ""bradford-university""]"
IE University NYC,ie-university-nyc,US,USD,,"[""IE NYC"", ""ie-university-nyc""]"
Imperial College Business School,imperial-college-business-school,GB,EUR,,"[""Imperial Business School"", ""imperial-college-business-school""]"
Indian School of Business,indian-school-of-business,IN,INR,,"[""ISB"", ""indian-school-of-business""]"
London Business School,london-business-school,GB,GBP,,"[""london-business-school""]"
OPIT,opit,MT,EUR,,"[""OPIT Technology""]"
Polimi University,polimi-university,IT,EUR,,"[""Polimi Uni"", ""polimi-university""]"
SP Jain Global University,sp-jain-global-university,AE,,,"[""SP Jain"", ""sp-jain-global-university""]"
The American University in Cairo,the-american-university-in-cairo,US,EGP,,"[""AUC Onsi"", ""the-american-university-in-cairo""]"
The University of Edinburgh,the-university-of-edinburgh,GB,GBP,,"[""UOE Business"", ""the-university-of-edinburgh""]"
The University of Warwick,the-university-of-warwick,GB,GBP,,"[""Warwick-Business"", ""the-university-of-warwick""]"
UC Davis,uc-davis,US,USD,,"[""uc-davis""]"
UC Irvine,uc-irvine,US,USD,,"[""uc-irvine""]"
UC San Diego,uc-san-diego,US,USD,,"[""San Diego"", ""uc-san-diego""]"
UT Austin University,ut-austin-university,US,USD,,"[""UT Austin McCombs"", ""ut-austin-university""]"
University at Buffalo,university-at-buffalo,US,USD,,"[""UAB Management"", ""university-at-buffalo""]"
University of Buffalo,university-of-buffalo,US,USD,,"[""Buffalo Engineering"", ""university-of-buffalo""]"
"University of California, Berkeley",university-of-california-berkeley,US,USD,,"[""Berkeley"", ""university-of-california-berkeley""]"
University of Southampton - India,university-of-southampton-india,GB,INR,,"[""Southampton"", ""university-of-southampton-india""]"
William & Mary,william-mary,US,USD,,"[""W&M"", ""william-mary""]"
